n,seconds
355,0.0030190030
356,0.0030308580
357,0.0031220060
358,0.0030591760
359,0.0030755350
360,0.0032003870
361,0.0031040400
362,0.0031220540
363,0.0032163390
364,0.0031553670
365,0.0032875040
366,0.0031953760
367,0.0032533570
368,0.0033130780
369,0.0032549770
370,0.0034558320
371,0.0034031020
372,0.0035763340
373,0.0040348800
374,0.0036850830
375,0.0038604450
376,0.0035966040
377,0.0036313010
378,0.0036424440
379,0.0036944740
380,0.0036636500
381,0.0037188380
382,0.0036995250
383,0.0037149960
384,0.0037294900
385,0.0037909250
386,0.0037926970
387,0.0038007720
388,0.0038724580
389,0.0038351260
390,0.0041046120
391,0.0041711500
392,0.0040754000
393,0.0044208640
394,0.0039500690
395,0.0041048640
396,0.0039712060
397,0.0040342040
398,0.0040022810
399,0.0040303610
400,0.0040880440
401,0.0040705560
402,0.0040869920
403,0.0040514240
404,0.0040672240
405,0.0041071790
406,0.0044704270
407,0.0043941460
408,0.0046607710
409,0.0045210940
410,0.0044637970
411,0.0044726110
412,0.0045792930
413,0.0044416150
414,0.0058907080
415,0.0046998710
416,0.0045437100
417,0.0050146360
418,0.0045400910
419,0.0044523230
420,0.0044605910
421,0.0044737070
422,0.0045407290
423,0.0045251530
424,0.0045430210
425,0.0045787570
426,0.0046115190
427,0.0045949650
428,0.0046328620
429,0.0046833650
430,0.0047165220
431,0.0047001190
432,0.0047338580
433,0.0047393860
434,0.0047601160
435,0.0047943220
436,0.0048491580
437,0.0047979620
438,0.0049025200
439,0.0048541510
440,0.0049117970
441,0.0049587600
442,0.0049629320
443,0.0049945560
444,0.0050099990
445,0.0050057800
446,0.0050282310
447,0.0050420080
448,0.0050950920
449,0.0051131120
450,0.0051678480
451,0.0051401630
452,0.0051718910
453,0.0052045980
454,0.0052251380
455,0.0052453200
456,0.0053077760
457,0.0053147970
458,0.0053512940
459,0.0053471540
460,0.0053507070
461,0.0054019110
462,0.0053880680
463,0.0054641890
464,0.0054846480
465,0.0055512770
466,0.0083785330
467,0.0056137830
468,0.0055610490
469,0.0056133110
470,0.0055847780
471,0.0056099100
472,0.0059333540
473,0.0057653620
474,0.0058559690
475,0.0057796120
476,0.0057793430
477,0.0058874380
478,0.0059394700
479,0.0057506630
480,0.0058438980
481,0.0059339510
482,0.0058841480
483,0.0058738140
484,0.0058679850
485,0.0058779550
486,0.0058441150
487,0.0057746220
488,0.0058024360
489,0.0058753920
490,0.0058350980
491,0.0057197220
492,0.0058474220
493,0.0061284280
494,0.0060675150
495,0.0060917410
496,0.0059821670
497,0.0060804010
498,0.0058762940
499,0.0060085380
500,0.0063211940
501,0.0060958110
502,0.0060493780
503,0.0061183660
504,0.0060179800
505,0.0062327140
506,0.0062945660
507,0.0066999220
508,0.0066403060
509,0.0064719870
510,0.0063688470
511,0.0064146920
512,0.0071250730
513,0.0070166790
514,0.0069085680
515,0.0067134560
516,0.0067314820
517,0.0067776830
518,0.0066246990
519,0.0067955000
520,0.0069110830
521,0.0067988490
522,0.0068680460
523,0.0068399210
524,0.0068056140
525,0.0069520470
526,0.0067546920
527,0.0069138250
528,0.0067844640
529,0.0067954130
530,0.0068143900
531,0.0067653510
532,0.0068158880
533,0.0067311290
534,0.0067681670
535,0.0068614930
536,0.0069095880
537,0.0069940290
538,0.0068633560
539,0.0068930080
540,0.0070896710
541,0.0070360300
542,0.0070544290
543,0.0071786150
544,0.0071746610
545,0.0070493000
546,0.0071886860
547,0.0071051210
548,0.0071319360
549,0.0072304810
550,0.0072979200
551,0.0072851020
552,0.0073505990
553,0.0076197760
554,0.0076213470
555,0.0075919090
556,0.0075313720
557,0.0074900070
558,0.0075464830
559,0.0074432120
560,0.0076365260
561,0.0074897210
562,0.0075842240
563,0.0075792370
564,0.0077219520
565,0.0077085560
566,0.0076939080
567,0.0076450630
568,0.0077447080
569,0.0076895230
570,0.0081513420
571,0.0083053370
572,0.0081235470
573,0.0086692170
574,0.0087839760
575,0.0084790980
576,0.0084884290
577,0.0084715770
578,0.0085228780
579,0.0084892680
580,0.0085408660
581,0.0086033490
582,0.0087720850
583,0.0092955890
584,0.0093291570
585,0.0087947250
586,0.0087101690
587,0.0086717230
588,0.0087317470
589,0.0087294820
590,0.0087591470
591,0.0087035310
592,0.0084892170
593,0.0090783750
594,0.0086109050
595,0.0108110410
596,0.0093406420
597,0.0098055210
598,0.0090903930
599,0.0091751500
600,0.0091354480
601,0.0091055910
602,0.0090615780
603,0.0092104290
604,0.0093429150
605,0.0090453900
606,0.0090365460
607,0.0090863160
608,0.0090970730
609,0.0091583780
610,0.0092091910
611,0.0092803590
612,0.0092666140
613,0.0092880620
614,0.0094323580
615,0.0092492040
616,0.0094015660
617,0.0095744010
618,0.0096726180
619,0.0095976080
620,0.0094691200
621,0.0098121910
622,0.0097485880
623,0.0096444480
624,0.0096899580
625,0.0097599920
626,0.0097192150
627,0.0096815300
628,0.0097986120
629,0.0098381780
630,0.0098241200
631,0.0098210650
632,0.0098772920
633,0.0098683640
634,0.0098796400
635,0.0100489620
636,0.0099752360
637,0.0099768750
638,0.0100341900
639,0.0100621350
640,0.0101073120
641,0.0103097200
642,0.0101894740
643,0.0102196560
644,0.0102321410
645,0.0103301150
646,0.0103769680
647,0.0103244470
648,0.0103581530
649,0.0105721690
650,0.0104303790
651,0.0105344830
652,0.0105685080
653,0.0106192550
654,0.0105288660
655,0.0105790060
656,0.0106531560
657,0.0108854890
658,0.0108057600
659,0.0107291740
660,0.0108672960
661,0.0108165350
662,0.0107908310
663,0.0108995390
664,0.0108347040
665,0.0108635760
666,0.0109565140
667,0.0110149970
668,0.0109810360
669,0.0110699730
670,0.0111147940
671,0.0110862650
672,0.0113228200
673,0.0116460850
674,0.0112374970
675,0.0112358470
676,0.0113375930
677,0.0114183160
678,0.0114817550
679,0.0114787560
680,0.0114436500
681,0.0115880220
682,0.0119479150
683,0.0117138370
684,0.0115123090
685,0.0116898460
686,0.0116079270
687,0.0117395060
688,0.0118464570
689,0.0120840140
690,0.0124109770
691,0.0131208910
692,0.0121544260
693,0.0121828040
694,0.0120036630
695,0.0118310800
696,0.0122690750
697,0.0126917500
698,0.0126414100
699,0.0119659990
700,0.0118086650
701,0.0119910830
702,0.0118483340
703,0.0119261460
704,0.0121405130
705,0.0119591450
706,0.0119981120
707,0.0120740690
708,0.0121224950
709,0.0120720720
710,0.0122174740
711,0.0127883320
712,0.0124666960
713,0.0122565010
714,0.0124763870
715,0.0125559900
716,0.0124298230
717,0.0126571680
718,0.0130844760
719,0.0128927670
720,0.0126706570
721,0.0123749050
722,0.0124955650
723,0.0126058570
724,0.0126771540
725,0.0126803290
726,0.0127483750
727,0.0127463090
728,0.0127052960
729,0.0127450790
730,0.0129521560
731,0.0134948250
732,0.0131628540
733,0.0131200430
734,0.0130791130
735,0.0130448360
736,0.0130360030
737,0.0132375350
738,0.0132577200
739,0.0131310100
740,0.0131938850
741,0.0133508740
742,0.0132421170
743,0.0132926840
744,0.0135176820
745,0.0132306180
746,0.0134037800
747,0.0133948450
748,0.0134024320
749,0.0135450460
750,0.0133901400
751,0.0135254030
752,0.0144432110
753,0.0146176110
754,0.0142433500
755,0.0144239840
756,0.0141653390
757,0.0137856770
758,0.0139665960
759,0.0138762160
760,0.0147944010
761,0.0142976440
762,0.0140602400
763,0.0139730820
764,0.0139681530
765,0.0140949140
766,0.0146642750
767,0.0146800490
768,0.0142745350
769,0.0148428880
770,0.0147722070
771,0.0145416180
772,0.0141889720
773,0.0143718980
774,0.0143535210
775,0.0143919870
776,0.0144824940
777,0.0144414890
778,0.0145238440
779,0.0147435330
780,0.0145352160
781,0.0145934350
782,0.0146501640
783,0.0148388380
784,0.0148099440
785,0.0148065720
786,0.0151845500
787,0.0148866900
788,0.0149578240
789,0.0152024510
790,0.0153320230
791,0.0149900440
792,0.0149897930
793,0.0150300030
794,0.0151031500
795,0.0151070150
796,0.0153335720
797,0.0151822250
798,0.0152273930
799,0.0152796010
800,0.0153913090
801,0.0153527350
802,0.0154761940
803,0.0154661120
804,0.0156340410
805,0.0155060650
806,0.0157485830
807,0.0155985090
808,0.0156317750
809,0.0157410460
810,0.0162905920
811,0.0160952040
812,0.0160826980
813,0.0158705400
814,0.0158354480
815,0.0159574510
816,0.0160279210
817,0.0159723330
818,0.0174835590
819,0.0166917040
820,0.0164498030
821,0.0171394450
822,0.0166857440
823,0.0163122920
824,0.0162771490
825,0.0173475480
826,0.0168830490
827,0.0166260130
828,0.0165185450
829,0.0165348590
830,0.0165193320
831,0.0179114070
832,0.0172958610
833,0.0172131320
834,0.0169948500
835,0.0167445440
836,0.0168571650
837,0.0167773420
838,0.0172399700
839,0.0170806410
840,0.0172134410
841,0.0170980260
842,0.0168936330
843,0.0175848290
844,0.0180093220
845,0.0298805470
846,0.0196544600
847,0.0182244670
848,0.0186168240
849,0.0181481580
850,0.0175177650
851,0.0173253980
852,0.0172780980
853,0.0173210540
854,0.0176879250
855,0.0174972850
856,0.0175649250
857,0.0176151000
858,0.0176080020
859,0.0176444960
860,0.0184292440
861,0.0187913940
862,0.0198717930
863,0.0188858590
864,0.0188430160
865,0.0188376710
866,0.0185647860
867,0.0184502620
868,0.0181757170
869,0.0181268390
870,0.0181940200
871,0.0181564210
872,0.0181291290
