n,seconds
1,0.0000599890
2,0.0000031090
3,0.0000052710
4,0.0000087450
5,0.0000334030
6,0.0000323370
7,0.0000659430
8,0.0001566080
9,0.0002985130
10,0.0006547840
11,0.0014425510
12,0.0030671120
13,0.0065157270
14,0.0136231670
15,0.0286363850
16,0.0634058300
17,0.1342204410
18,0.2772523510
19,0.5809918790
20,1.2412472440
21,2.5160729740
22,5.1831730350
